CALENDAR_YEAR,LOCATION_ID,PERSONSWITHDISABILITY
2022,CA-607,846
2022,CA-608,4498
2022,CA-609,3274
2022,CA-611,1720
2022,CA-612,432
2022,CA-613,377
2022,CA-614,1114
2023,All,163047
2023,CA-500,8147
2023,CA-501,12367
2023,CA-502,9137
2023,CA-503,7253
2023,CA-504,1848
2023,CA-505,5364
2023,CA-506,1641
2023,CA-507,1085
2023,CA-508,1007
2023,CA-509,844
2023,CA-510,3526
2023,CA-511,2698
2023,CA-512,2144
2023,CA-513,1803
2023,CA-514,5400
2023,CA-515,1716
2023,CA-516,1405
2023,CA-517,724
2023,CA-518,1044
2023,CA-519,2398
2023,CA-520,1351
2023,CA-521,616
2023,CA-522,1879
2023,CA-523,242
2023,CA-524,1281
2023,CA-525,265
2023,CA-526,329
2023,CA-527,197
2023,CA-529,233
2023,CA-530,24
2023,CA-531,853
2023,CA-600,38548
2023,CA-601,15787
2023,CA-602,10569
2023,CA-603,2507
2023,CA-604,4381
2023,CA-606,3397
2023,CA-607,937
2023,CA-608,5954
2023,CA-609,2965
2023,CA-611,1744
2023,CA-612,446
2023,CA-613,394
2023,CA-614,1168
2024,All,174013
2024,CA-500,8129
2024,CA-501,13454
2024,CA-502,10482
2024,CA-503,8379
2024,CA-504,2306
2024,CA-505,5527
2024,CA-506,1652
2024,CA-507,1036
2024,CA-508,1156
2024,CA-509,693
2024,CA-510,3261
2024,CA-511,3136
2024,CA-512,2583
2024,CA-513,2205
2024,CA-514,5901
2024,CA-515,1769
2024,CA-516,1429
2024,CA-517,712
2024,CA-518,1581
2024,CA-519,2957
2024,CA-520,1314
2024,CA-521,517
2024,CA-522,1928
2024,CA-523,175
2024,CA-524,1111
2024,CA-525,308
2024,CA-526,386
2024,CA-527,278
2024,CA-529,151
2024,CA-530,24
2024,CA-531,836
2024,CA-600,41487
2024,CA-601,16047
2024,CA-602,11669
2024,CA-603,2444
2024,CA-604,4314
2024,CA-606,3566
2024,CA-607,888
2024,CA-608,6132
2024,CA-609,2930
2024,CA-611,1730
2024,CA-612,395
2024,CA-613,457
2024,CA-614,1516
