CALENDAR_YEAR,LOCATION_ID,VETERANCOUNTS
2023,CA-505,390
2023,CA-506,261
2023,CA-507,65
2023,CA-508,200
2023,CA-509,64
2023,CA-510,206
2023,CA-511,324
2023,CA-512,261
2023,CA-513,183
2023,CA-514,606
2023,CA-515,134
2023,CA-516,220
2023,CA-517,31
2023,CA-518,196
2023,CA-519,230
2023,CA-520,86
2023,CA-521,33
2023,CA-522,150
2023,CA-523,20
2023,CA-524,89
2023,CA-525,48
2023,CA-526,57
2023,CA-527,24
2023,CA-529,25
2023,CA-530,*
2023,CA-531,50
2023,CA-600,4403
2023,CA-601,2198
2023,CA-602,705
2023,CA-603,330
2023,CA-604,281
2023,CA-606,741
2023,CA-607,43
2023,CA-608,492
2023,CA-609,427
2023,CA-611,192
2023,CA-612,18
2023,CA-613,44
2023,CA-614,168
2024,All,15814
2024,CA-500,574
2024,CA-501,695
2024,CA-502,692
2024,CA-503,931
2024,CA-504,166
2024,CA-505,382
2024,CA-506,269
2024,CA-507,52
2024,CA-508,210
2024,CA-509,49
2024,CA-510,139
2024,CA-511,307
2024,CA-512,253
2024,CA-513,187
2024,CA-514,524
2024,CA-515,119
2024,CA-516,166
2024,CA-517,37
2024,CA-518,189
2024,CA-519,235
2024,CA-520,82
2024,CA-521,28
2024,CA-522,149
2024,CA-523,*
2024,CA-524,86
2024,CA-525,61
2024,CA-526,60
2024,CA-527,21
2024,CA-529,15
2024,CA-530,*
2024,CA-531,42
2024,CA-600,4781
2024,CA-601,2037
2024,CA-602,689
2024,CA-603,249
2024,CA-604,244
2024,CA-606,720
2024,CA-607,30
2024,CA-608,503
2024,CA-609,337
2024,CA-611,201
2024,CA-612,13
2024,CA-613,45
2024,CA-614,151
